Data Points
"Data Point:","size_wide","size_deep","cpu_time","elapsed","num_recs"," per_part","group_size"
"Data Point","10","10","1.42","2.433","15000","5000","3"
"Data Point","10","20",".96","1.152","15000","5000","4"
"Data Point","10","30",".97",".999","15000","5000","5"
"Data Point","20","10","1.97","3.332","30000","10000","4"
"Data Point","20","20","1.86","1.973","30000","10000","7"
"Data Point","20","30","1.97","2.082","30000","10000","10"
"Data Point","30","10","2.86","3.643","45000","15000","6"
"Data Point","30","20","2.81","3.007","45000","15000","10"
"Data Point","30","30","2.92","3.645","45000","15000","14"
"num_records_out"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","6166","7710","8451"
"MOD_QRY","D20","3951","4537","4771"
"MOD_QRY","D30","2910","3199","3325"
"MTH_QRY","D10","6166","7710","8451"
"MTH_QRY","D20","3951","4537","4771"
"MTH_QRY","D30","2910","3199","3325"
"RSF_QRY","D10","6166","7710","8451"
"RSF_QRY","D20","3951","4537","4771"
"RSF_QRY","D30","2910","3199","3325"
"RSF_TMP","D10","6166","7710","8451"
"RSF_TMP","D20","3951","4537","4771"
"RSF_TMP","D30","2910","3199","3325"
"num_records_out_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY","2910","3199","3325"
"MTH_QRY","2910","3199","3325"
"RSF_QRY","2910","3199","3325"
"RSF_TMP","2910","3199","3325"
"num_records_out_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","1","1","1"
"MOD_QRY","D20","1","1","1"
"MOD_QRY","D30","1","1","1"
"MTH_QRY","D10","1","1","1"
"MTH_QRY","D20","1","1","1"
"MTH_QRY","D30","1","1","1"
"RSF_QRY","D10","1","1","1"
"RSF_QRY","D20","1","1","1"
"RSF_QRY","D30","1","1","1"
"RSF_TMP","D10","1","1","1"
"RSF_TMP","D20","1","1","1"
"RSF_TMP","D30","1","1","1"
"num_records_out_SLICE_RATIO"
"Run Type","W10","W20","W30"
"MOD_QRY","1","1","1"
"MTH_QRY","1","1","1"
"RSF_QRY","1","1","1"
"RSF_TMP","1","1","1"
"cpu_time"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10",".08",".18",".26"
"MOD_QRY","D20",".08",".17",".25"
"MOD_QRY","D30",".11",".17",".3"
"MTH_QRY","D10",".03",".03",".06"
"MTH_QRY","D20",".01",".03",".05"
"MTH_QRY","D30",".02",".02",".05"
"RSF_QRY","D10","46.41","186.42","422.6"
"RSF_QRY","D20","46.28","190.24","439.31"
"RSF_QRY","D30","46.67","187.33","428.47"
"RSF_TMP","D10",".21",".33",".53"
"RSF_TMP","D20",".16",".37",".52"
"RSF_TMP","D30",".16",".32",".54"
"cpu_time_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY",".11",".17",".3"
"MTH_QRY",".02",".02",".05"
"RSF_QRY","46.67","187.33","428.47"
"RSF_TMP",".16",".32",".54"
"cpu_time_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","2.67","6","4.33"
"MOD_QRY","D20","8","5.67","5"
"MOD_QRY","D30","5.5","8.5","6"
"MTH_QRY","D10","1","1","1"
"MTH_QRY","D20","1","1","1"
"MTH_QRY","D30","1","1","1"
"RSF_QRY","D10","1547","6214","7043.33"
"RSF_QRY","D20","4628","6341.33","8786.2"
"RSF_QRY","D30","2333.5","9366.5","8569.4"
"RSF_TMP","D10","7","11","8.83"
"RSF_TMP","D20","16","12.33","10.4"
"RSF_TMP","D30","8","16","10.8"
"cpu_time_SLICE_RATIO"
"Run Type","W10","W20","W30"
"MOD_QRY","5.5","8.5","6"
"MTH_QRY","1","1","1"
"RSF_QRY","2333.5","9366.5","8569.4"
"RSF_TMP","8","16","10.8"
"elapsed_time"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10",".087",".165",".252"
"MOD_QRY","D20",".081",".164",".236"
"MOD_QRY","D30",".102",".163",".28"
"MTH_QRY","D10",".069",".037",".055"
"MTH_QRY","D20",".019",".032",".04"
"MTH_QRY","D30",".016",".026",".041"
"RSF_QRY","D10","46.452","186.518","422.698"
"RSF_QRY","D20","46.289","190.347","439.848"
"RSF_QRY","D30","46.687","187.431","428.745"
"RSF_TMP","D10",".193",".337",".53"
"RSF_TMP","D20",".164",".409",".514"
"RSF_TMP","D30",".162",".322",".512"
"elapsed_time_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY",".102",".163",".28"
"MTH_QRY",".016",".026",".041"
"RSF_QRY","46.687","187.431","428.745"
"RSF_TMP",".162",".322",".512"
"elapsed_time_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","1.26","4.46","4.58"
"MOD_QRY","D20","4.26","5.13","5.9"
"MOD_QRY","D30","6.38","6.27","6.83"
"MTH_QRY","D10","1","1","1"
"MTH_QRY","D20","1","1","1"
"MTH_QRY","D30","1","1","1"
"RSF_QRY","D10","673.22","5041.03","7685.42"
"RSF_QRY","D20","2436.26","5948.34","10996.2"
"RSF_QRY","D30","2917.94","7208.88","10457.2"
"RSF_TMP","D10","2.8","9.11","9.64"
"RSF_TMP","D20","8.63","12.78","12.85"
"RSF_TMP","D30","10.13","12.38","12.49"
"elapsed_time_SLICE_RATIO"
"Run Type","W10","W20","W30"
"MOD_QRY","6.38","6.27","6.83"
"MTH_QRY","1","1","1"
"RSF_QRY","2917.94","7208.88","10457.2"
"RSF_TMP","10.13","12.38","12.49"
"memory_used"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","1197056","2134016","3046400"
"MOD_QRY","D20","1192960","2137088","3036160"
"MOD_QRY","D30","1167360","2136064","3027968"
"MTH_QRY","D10","692224","1272832","1917952"
"MTH_QRY","D20","692224","1272832","1917952"
"MTH_QRY","D30","692224","1272832","1917952"
"RSF_QRY","D10","1014784","1982464","2950144"
"RSF_QRY","D20","1014784","1982464","2950144"
"RSF_QRY","D30","1014784","1982464","2950144"
"RSF_TMP","D10","1014784","1982464","2950144"
"RSF_TMP","D20","1014784","1982464","2950144"
"RSF_TMP","D30","1014784","1982464","2950144"
"memory_used_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY","1167360","2136064","3027968"
"MTH_QRY","692224","1272832","1917952"
"RSF_QRY","1014784","1982464","2950144"
"RSF_TMP","1014784","1982464","2950144"
"memory_used_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","1.73","1.68","1.59"
"MOD_QRY","D20","1.72","1.68","1.58"
"MOD_QRY","D30","1.69","1.68","1.58"
"MTH_QRY","D10","1","1","1"
"MTH_QRY","D20","1","1","1"
"MTH_QRY","D30","1","1","1"
"RSF_QRY","D10","1.47","1.56","1.54"
"RSF_QRY","D20","1.47","1.56","1.54"
"RSF_QRY","D30","1.47","1.56","1.54"
"RSF_TMP","D10","1.47","1.56","1.54"
"RSF_TMP","D20","1.47","1.56","1.54"
"RSF_TMP","D30","1.47","1.56","1.54"
"memory_used_SLICE_RATIO"
"Run Type","W10","W20","W30"
"MOD_QRY","1.69","1.68","1.58"
"MTH_QRY","1","1","1"
"RSF_QRY","1.47","1.56","1.54"
"RSF_TMP","1.47","1.56","1.54"
"buffers"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","84","191","248"
"MOD_QRY","D20","84","191","248"
"MOD_QRY","D30","84","191","248"
"MTH_QRY","D10","84","191","248"
"MTH_QRY","D20","84","191","248"
"MTH_QRY","D30","84","191","248"
"RSF_QRY","D10","435302","1952152","3790638"
"RSF_QRY","D20","435302","1952152","3790638"
"RSF_QRY","D30","435302","1952152","3790638"
"RSF_TMP","D10","35601","82728","131534"
"RSF_TMP","D20","35601","82705","131569"
"RSF_TMP","D30","35601","82728","131532"
"buffers_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY","84","191","248"
"MTH_QRY","84","191","248"
"RSF_QRY","435302","1952152","3790638"
"RSF_TMP","35601","82728","131532"
"buffers_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","1","1","1"
"MOD_QRY","D20","1","1","1"
"MOD_QRY","D30","1","1","1"
"MTH_QRY","D10","1","1","1"
"MTH_QRY","D20","1","1","1"
"MTH_QRY","D30","1","1","1"
"RSF_QRY","D10","5182.17","10220.69","15284.83"
"RSF_QRY","D20","5182.17","10220.69","15284.83"
"RSF_QRY","D30","5182.17","10220.69","15284.83"
"RSF_TMP","D10","423.82","433.13","530.38"
"RSF_TMP","D20","423.82","433.01","530.52"
"RSF_TMP","D30","423.82","433.13","530.37"
"buffers_SLICE_RATIO"
"Run Type","W10","W20","W30"
"MOD_QRY","1","1","1"
"MTH_QRY","1","1","1"
"RSF_QRY","5182.17","10220.69","15284.83"
"RSF_TMP","423.82","433.13","530.37"
"disk_reads"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","0","0","0"
"MOD_QRY","D20","0","0","0"
"MOD_QRY","D30","0","0","0"
"MTH_QRY","D10","0","0","0"
"MTH_QRY","D20","0","0","0"
"MTH_QRY","D30","0","0","0"
"RSF_QRY","D10","0","0","0"
"RSF_QRY","D20","0","0","0"
"RSF_QRY","D30","0","0","0"
"RSF_TMP","D10","0","0","0"
"RSF_TMP","D20","0","0","0"
"RSF_TMP","D30","0","0","0"
"disk_reads_SLICE"
"Run Type","W10","W20","W30"
"MOD_QRY","0","0","0"
"MTH_QRY","0","0","0"
"RSF_QRY","0","0","0"
"RSF_TMP","0","0","0"
"disk_reads_RATIO"
"Run Type","Depth","W10","W20","W30"
"MOD_QRY","D10","0","0","0"
"MOD_QRY","D20","0","0","0"
"MOD_QRY","D30","0","0","0"
"MTH_QRY","D10","0","0","0"
"MTH_QRY","D20","0","0","0"
"MTH_QRY","D30","0","0","0"
"RSF_QRY","D10","0","0","0"
"RSF_QRY","D20","0","0","0"
"RSF_QRY","D30","0","0","0"
"RSF_TMP","D10","0","0","0"
"RSF_TMP","D20","0","0","0"
"RSF_TMP","D30","0","0","0"
"disk_reads_SLICE_RATIO"
"Run Type","W10","W20","W30"
