"person_id","group_start","group_end","num_rows","Random"
"1","15-JAN-1900","12-MAR-1900","9","5630"
"1","21-FEB-1900","13-APR-1900","15","5630"
"1","25-MAR-1900","05-MAY-1900","12","5630"
"1","29-APR-1900","13-JUN-1900","17","5630"
"1","30-MAY-1900","18-JUL-1900","10","5630"
"1","30-JUN-1900","20-AUG-1900","15","5630"
"1","31-JUL-1900","06-SEP-1900","13","5630"
"1","02-SEP-1900","23-OCT-1900","11","5630"
"1","04-OCT-1900","11-NOV-1900","12","5630"
"1","04-NOV-1900","22-DEC-1900","11","5630"
"1","07-DEC-1900","27-JAN-1901","12","5630"
"1","15-JAN-1901","11-MAR-1901","14","5630"
"1","18-FEB-1901","18-APR-1901","12","5630"
"1","24-MAR-1901","15-MAY-1901","17","5630"
"1","25-APR-1901","09-JUN-1901","17","5630"
"1","31-MAY-1901","27-JUL-1901","21","5630"
"1","01-JUL-1901","12-AUG-1901","14","5630"
"1","03-AUG-1901","16-SEP-1901","12","5630"
"1","04-SEP-1901","22-OCT-1901","20","5630"
"1","05-OCT-1901","16-NOV-1901","6","5630"
"1","06-NOV-1901","27-DEC-1901","15","5630"
"1","10-DEC-1901","21-JAN-1902","15","5630"
"1","11-JAN-1902","28-FEB-1902","6","5630"
"1","11-FEB-1902","31-MAR-1902","10","5630"
"1","15-MAR-1902","03-MAY-1902","15","5630"
"1","17-APR-1902","07-JUN-1902","12","5630"
"1","24-MAY-1902","17-JUL-1902","19","5630"
"1","08-JUL-1902","28-AUG-1902","15","5630"
"1","09-AUG-1902","30-SEP-1902","17","5630"
"1","11-SEP-1902","18-OCT-1902","8","5630"
"1","15-OCT-1902","07-DEC-1902","13","5630"
"1","20-NOV-1902","25-DEC-1902","14","5630"
"1","23-DEC-1902","17-FEB-1903","10","5630"
"1","24-JAN-1903","15-MAR-1903","13","5630"
"1","28-FEB-1903","27-APR-1903","18","5630"
"1","08-APR-1903","23-MAY-1903","16","5630"
"1","10-MAY-1903","26-JUN-1903","10","5630"
"1","11-JUN-1903","01-AUG-1903","14","5630"
"1","12-JUL-1903","16-AUG-1903","8","5630"
"1","12-AUG-1903","08-OCT-1903","16","5630"
"1","13-SEP-1903","25-OCT-1903","6","5630"
"1","14-OCT-1903","07-DEC-1903","18","5630"
"1","19-NOV-1903","11-JAN-1904","14","5630"
"1","20-DEC-1903","12-FEB-1904","13","5630"
"1","20-JAN-1904","18-MAR-1904","16","5630"
"1","20-FEB-1904","17-APR-1904","15","5630"
"1","25-MAR-1904","23-MAY-1904","26","5630"
"1","29-APR-1904","21-JUN-1904","14","5630"
"1","30-MAY-1904","16-JUL-1904","12","5630"
"1","01-JUL-1904","15-AUG-1904","13","5630"
"1","01-AUG-1904","10-SEP-1904","13","5630"
"1","03-SEP-1904","17-OCT-1904","13","5630"
"1","23-OCT-1904","07-DEC-1904","17","5630"
"1","23-NOV-1904","14-JAN-1905","16","5630"
"1","25-DEC-1904","20-FEB-1905","16","5630"
"1","25-JAN-1905","18-MAR-1905","18","5630"
"1","25-FEB-1905","24-APR-1905","7","5630"
"1","02-APR-1905","01-JUN-1905","17","5630"
"1","03-MAY-1905","30-JUN-1905","16","5630"
"1","04-JUN-1905","02-AUG-1905","13","5630"
"1","05-JUL-1905","03-SEP-1905","11","5630"
"1","05-AUG-1905","25-SEP-1905","11","5630"
"1","05-SEP-1905","18-OCT-1905","11","5630"
"1","06-OCT-1905","18-NOV-1905","10","5630"
"1","08-NOV-1905","23-DEC-1905","15","5630"
"1","09-DEC-1905","24-JAN-1906","17","5630"
"1","19-JAN-1906","18-MAR-1906","21","5630"
"1","20-FEB-1906","11-APR-1906","10","5630"
"1","23-MAR-1906","05-MAY-1906","15","5630"
"1","23-APR-1906","14-JUN-1906","11","5630"
"1","25-MAY-1906","05-JUL-1906","13","5630"
"1","28-JUN-1906","23-AUG-1906","13","5630"
"1","04-AUG-1906","20-SEP-1906","15","5630"
"1","04-SEP-1906","29-OCT-1906","14","5630"
"1","07-OCT-1906","25-NOV-1906","15","5630"
"1","07-NOV-1906","21-DEC-1906","13","5630"
"1","16-DEC-1906","02-FEB-1907","13","5630"
"1","22-JAN-1907","20-MAR-1907","14","5630"
"1","25-FEB-1907","18-APR-1907","10","5630"
"1","28-MAR-1907","21-MAY-1907","18","5630"
"1","28-APR-1907","24-JUN-1907","20","5630"
"1","05-JUN-1907","29-JUL-1907","15","5630"
"1","06-JUL-1907","29-AUG-1907","18","5630"
"1","06-AUG-1907","20-SEP-1907","10","5630"
"1","16-SEP-1907","05-NOV-1907","15","5630"
"1","17-OCT-1907","08-DEC-1907","12","5630"
"1","19-NOV-1907","07-JAN-1908","15","5630"
"1","01-JAN-1908","19-FEB-1908","19","5630"
"1","03-FEB-1908","28-MAR-1908","12","5630"
"1","05-MAR-1908","20-APR-1908","19","5630"
"1","07-APR-1908","29-MAY-1908","20","5630"
"1","09-MAY-1908","01-JUL-1908","10","5630"
"1","10-JUN-1908","31-JUL-1908","15","5630"
"1","15-JUL-1908","12-SEP-1908","16","5630"
"1","22-AUG-1908","20-OCT-1908","16","5630"
"1","26-SEP-1908","16-NOV-1908","12","5630"
"1","01-NOV-1908","10-DEC-1908","7","5630"
"1","02-DEC-1908","18-JAN-1909","9","5630"
"1","04-JAN-1909","01-MAR-1909","17","5630"
"1","05-FEB-1909","03-APR-1909","19","5630"
"1","09-MAR-1909","24-APR-1909","15","5630"
"1","09-APR-1909","06-JUN-1909","19","5630"
"1","14-MAY-1909","18-JUN-1909","13","5630"
"1","18-JUN-1909","13-AUG-1909","14","5630"
"1","24-JUL-1909","02-SEP-1909","17","5630"
"1","24-AUG-1909","13-OCT-1909","15","5630"
"1","05-OCT-1909","21-NOV-1909","10","5630"
"1","14-NOV-1909","04-JAN-1910","13","5630"
"1","15-DEC-1909","10-FEB-1910","20","5630"
"1","17-JAN-1910","09-MAR-1910","10","5630"
"1","19-FEB-1910","18-APR-1910","11","5630"
"1","23-MAR-1910","08-MAY-1910","7","5630"
"1","02-MAY-1910","20-JUN-1910","12","5630"
"1","05-JUN-1910","13-JUL-1910","12","5630"
"1","06-JUL-1910","30-AUG-1910","14","5630"
"1","06-AUG-1910","27-SEP-1910","16","5630"
"1","06-SEP-1910","13-OCT-1910","7","5630"
"1","14-OCT-1910","22-NOV-1910","10","5630"
"1","14-NOV-1910","03-JAN-1911","16","5630"
"1","17-DEC-1910","28-JAN-1911","11","5630"
"1","17-JAN-1911","24-FEB-1911","12","5630"
"1","17-FEB-1911","12-APR-1911","24","5630"
"1","20-MAR-1911","12-MAY-1911","11","5630"
"1","25-APR-1911","18-JUN-1911","16","5630"
"1","26-MAY-1911","20-JUL-1911","11","5630"
"1","29-JUN-1911","23-AUG-1911","7","5630"
"1","30-JUL-1911","09-SEP-1911","13","5630"
"1","02-SEP-1911","27-OCT-1911","14","5630"
"1","03-OCT-1911","15-NOV-1911","9","5630"
"1","06-NOV-1911","22-DEC-1911","15","5630"
"1","17-DEC-1911","09-FEB-1912","14","5630"
"1","18-JAN-1912","13-MAR-1912","15","5630"
"1","18-FEB-1912","12-APR-1912","13","5630"
"1","20-MAR-1912","11-MAY-1912","16","5630"
"1","20-APR-1912","11-JUN-1912","16","5630"
"1","22-MAY-1912","12-JUL-1912","16","5630"
"1","23-JUN-1912","12-AUG-1912","6","5630"
"1","25-JUL-1912","02-SEP-1912","6","5630"
"1","26-AUG-1912","23-OCT-1912","8","5630"
"1","04-OCT-1912","28-NOV-1912","16","5630"
"1","07-NOV-1912","28-DEC-1912","15","5630"
"1","11-DEC-1912","05-FEB-1913","12","5630"
"1","13-JAN-1913","07-MAR-1913","14","5630"
"1","13-FEB-1913","12-APR-1913","14","5630"
"1","16-MAR-1913","09-MAY-1913","13","5630"
"1","18-APR-1913","06-JUN-1913","8","5630"
"1","22-MAY-1913","18-JUL-1913","13","5630"
"1","25-JUN-1913","18-AUG-1913","16","5630"
"1","26-JUL-1913","15-SEP-1913","11","5630"
"1","01-SEP-1913","17-OCT-1913","24","5630"
"1","03-OCT-1913","25-NOV-1913","16","5630"
"1","03-NOV-1913","22-DEC-1913","11","5630"
"1","04-DEC-1913","20-JAN-1914","17","5630"
"1","04-JAN-1914","01-MAR-1914","18","5630"
"1","04-FEB-1914","25-MAR-1914","17","5630"
"1","10-MAR-1914","07-MAY-1914","17","5630"
"1","12-APR-1914","07-JUN-1914","14","5630"
"1","13-MAY-1914","26-JUN-1914","16","5630"
"1","13-JUN-1914","07-AUG-1914","20","5630"
"1","14-JUL-1914","06-SEP-1914","13","5630"
"1","14-AUG-1914","07-OCT-1914","18","5630"
"1","16-SEP-1914","09-NOV-1914","17","5630"
"1","17-OCT-1914","08-DEC-1914","11","5630"
"1","18-NOV-1914","09-JAN-1915","16","5630"
"1","19-DEC-1914","25-JAN-1915","11","5630"
"1","22-JAN-1915","14-MAR-1915","16","5630"
"1","24-FEB-1915","22-APR-1915","16","5630"
"1","27-MAR-1915","15-MAY-1915","12","5630"
"1","28-APR-1915","21-JUN-1915","15","5630"
"1","04-JUN-1915","31-JUL-1915","11","5630"
"1","07-JUL-1915","23-AUG-1915","15","5630"
"1","09-AUG-1915","29-SEP-1915","18","5630"
"1","13-SEP-1915","03-NOV-1915","11","5630"
"1","14-OCT-1915","11-DEC-1915","22","5630"
"1","18-NOV-1915","16-JAN-1916","12","5630"
"1","19-DEC-1915","12-FEB-1916","15","5630"
"1","19-JAN-1916","11-MAR-1916","12","5630"
"1","21-FEB-1916","27-MAR-1916","16","5630"
"1","23-MAR-1916","29-APR-1916","12","5630"
"1","23-APR-1916","19-JUN-1916","21","5630"
"1","27-MAY-1916","24-JUL-1916","20","5630"
"1","03-JUL-1916","26-AUG-1916","15","5630"
"1","03-AUG-1916","12-SEP-1916","11","5630"
"1","06-SEP-1916","01-NOV-1916","14","5630"
"1","07-OCT-1916","03-DEC-1916","18","5630"
"1","07-NOV-1916","30-DEC-1916","12","5630"
"1","09-DEC-1916","04-FEB-1917","10","5630"
"1","17-JAN-1917","28-FEB-1917","17","5630"
"1","17-FEB-1917","14-APR-1917","16","5630"
"1","28-MAR-1917","20-MAY-1917","12","5630"
"1","29-APR-1917","03-JUN-1917","9","5630"
"1","31-MAY-1917","21-JUL-1917","20","5630"
"1","05-JUL-1917","29-AUG-1917","19","5630"
"1","06-AUG-1917","28-SEP-1917","19","5630"
"1","07-SEP-1917","26-OCT-1917","14","5630"
"1","11-OCT-1917","27-NOV-1917","13","5630"
"1","11-NOV-1917","03-JAN-1918","9","5630"
"1","14-DEC-1917","20-JAN-1918","14","5630"
"1","17-JAN-1918","18-MAR-1918","11","5630"
"1","17-FEB-1918","06-APR-1918","16","5630"
"1","25-MAR-1918","22-MAY-1918","16","5630"
"1","25-APR-1918","22-JUN-1918","17","5630"
"1","27-MAY-1918","18-JUL-1918","11","5630"
"1","27-JUN-1918","17-AUG-1918","11","5630"
"1","28-JUL-1918","15-SEP-1918","13","5630"
"1","30-AUG-1918","23-OCT-1918","13","5630"
"1","03-OCT-1918","29-NOV-1918","13","5630"
"1","04-NOV-1918","29-DEC-1918","11","5630"
"1","05-DEC-1918","27-JAN-1919","11","5630"
"1","05-JAN-1919","27-FEB-1919","13","5630"
"1","09-FEB-1919","01-APR-1919","11","5630"
"1","13-MAR-1919","06-MAY-1919","18","5630"
"1","30-APR-1919","24-JUN-1919","9","5630"
"1","31-MAY-1919","26-JUL-1919","15","5630"
"1","01-JUL-1919","17-AUG-1919","12","5630"
"1","02-AUG-1919","24-SEP-1919","15","5630"
"1","02-SEP-1919","29-OCT-1919","15","5630"
"1","06-OCT-1919","21-NOV-1919","14","5630"
"1","07-NOV-1919","01-JAN-1920","15","5630"
"1","10-DEC-1919","27-JAN-1920","12","5630"
"1","16-JAN-1920","03-MAR-1920","7","5630"
"1","19-FEB-1920","05-APR-1920","10","5630"
"1","24-MAR-1920","09-MAY-1920","13","5630"
"1","24-APR-1920","31-MAY-1920","12","5630"
"1","26-MAY-1920","21-JUL-1920","13","5630"
"1","26-JUN-1920","22-AUG-1920","12","5630"
"1","07-AUG-1920","29-SEP-1920","16","5630"
"1","26-SEP-1920","12-NOV-1920","7","5630"
"1","28-OCT-1920","15-DEC-1920","13","5630"
"1","02-DEC-1920","22-JAN-1921","8","5630"
"1","05-JAN-1921","28-FEB-1921","10","5630"
"1","05-FEB-1921","03-APR-1921","15","5630"
"1","08-MAR-1921","22-APR-1921","13","5630"
"1","08-APR-1921","24-MAY-1921","7","5630"
"1","12-MAY-1921","30-JUN-1921","18","5630"
"1","13-JUN-1921","29-JUL-1921","12","5630"
"1","16-JUL-1921","09-SEP-1921","18","5630"
"1","16-AUG-1921","06-OCT-1921","18","5630"
"1","16-SEP-1921","01-NOV-1921","16","5630"
"1","17-OCT-1921","02-DEC-1921","15","5630"
"1","18-NOV-1921","09-JAN-1922","16","5630"
"1","19-DEC-1921","29-JAN-1922","11","5630"
"1","20-JAN-1922","17-MAR-1922","10","5630"
"1","24-FEB-1922","23-APR-1922","14","5630"
"1","31-MAR-1922","14-MAY-1922","13","5630"
"1","01-MAY-1922","27-JUN-1922","9","5630"
"1","02-JUN-1922","26-JUL-1922","14","5630"
"1","04-JUL-1922","11-AUG-1922","13","5630"
"1","06-AUG-1922","04-OCT-1922","10","5630"
"1","10-SEP-1922","31-OCT-1922","11","5630"
"1","11-OCT-1922","06-DEC-1922","18","5630"
"1","26-NOV-1922","07-JAN-1923","8","5630"
"1","27-DEC-1922","23-FEB-1923","9","5630"
"1","30-JAN-1923","19-MAR-1923","22","5630"
"1","14-MAR-1923","06-MAY-1923","16","5630"
"1","15-APR-1923","10-JUN-1923","12","5630"
"1","16-MAY-1923","02-JUL-1923","16","5630"
"1","18-JUN-1923","03-AUG-1923","12","5630"
